config_name,config_A,config_A,config_B,config_B,config_C,config_C,config_D,config_D,config_E,config_E
group,test,train,test,train,test,train,test,train,test,train
checkpoint_step,,,,,,,,,,
50000,13.074690535488731,17.93136470747103,21.3137339875107,18.092549497708,17.05764202674087,28.84630618124047,19.318997487744078,21.49080245605391,20.316615655876554,20.986952725937602
100000,14.723996034288712,23.938098173347395,20.019425177103802,23.136647273740486,17.011217495769408,24.377056120652743,43.124027861069564,22.650013611539,20.64793271879189,22.29964754307483
150000,40.318122512701336,36.47700227047733,21.242481443282045,26.875913965721924,27.373517955631304,54.27530387287989,18.50849628499569,18.213552281802535,36.11297478829332,19.12453137857701
200000,25.03893322661392,52.41550928298018,29.161547810040645,31.817788913143993,53.42852668261732,51.633121099621405,19.40752475657011,30.396162268877873,21.649265782884015,25.934324784483977
250000,30.5246417639324,42.56123600890475,29.498983661535654,36.35483432233797,21.892594735433608,24.1122190826871,22.7639198774392,35.24457446372766,23.398204972434797,26.684470477525203
300000,54.565858344445644,37.37661563853002,26.865797727486818,30.800282107813103,50.97638044513307,58.09641886950195,22.59231516571961,23.927848302647003,33.46953353706667,54.912513746315526
350000,46.82096165731057,47.26211551326073,58.70087093729812,42.06803373515279,99.89441765913796,45.439188531652995,26.802030763043227,49.210438097045866,23.60992280586317,51.08389547312156
400000,47.42860481761816,50.02611440529961,33.93895011955438,43.196038980281344,17.222999206700713,32.673864633188835,54.00970157013387,65.60750717900783,69.89333536280976,60.62222498088706
450000,69.2789014714122,65.60800052586049,28.90523778334869,37.92266017091932,20.669332443062814,55.15251203866558,43.51819841195224,50.37620726757393,24.254689575829325,39.5352166882666
500000,85.9266246438244,107.93394666278668,65.84363714000622,51.03246692823654,14.745279526368112,74.77379836067377,41.15870182955224,87.18763343843162,48.13644884620844,75.86487871935641
550000,45.90072862955242,61.60787900564503,32.92576725266993,60.05090160743837,54.30388076269385,52.01320392771405,117.2784983314903,68.46352659468106,29.880553770310023,62.089118111704934
600000,72.31761093544377,72.12840150127168,36.74475773008396,82.08585454983572,141.21106864687917,70.40122575248122,155.33106492050524,88.73263009136532,100.65917377609911,83.23380054225375
650000,103.88419287262187,97.6075625472719,112.7493877452875,113.89545074911568,51.93454554331139,73.11101868873926,203.02543963894018,137.83731623391984,94.50158294729123,93.46863886322724
700000,191.6392994849627,101.95138648731407,96.76548794985055,121.50752561826963,49.099826620776746,87.4908063679904,226.59218370520165,152.56745854936648,173.3248473777491,107.46102898788426
750000,203.87707801452288,128.24895436577094,120.7150926898361,183.62893793077973,12.352760082925492,48.896100115067576,274.662079475477,115.14845478617777,91.18023375964711,78.77521467210978
800000,149.16999602684535,168.0572333599736,116.06843115952242,190.07864023683896,111.52730595730903,54.80116599121012,53.32829646211987,174.52273529936272,98.93792413440534,108.36808895365058
850000,233.10507008224099,169.1393079228303,175.21894836519814,198.83536209380014,104.95872419825805,44.650752766234305,91.4338412819061,106.70663158007258,63.68272940101083,87.83407757847003
900000,60.87992152202399,96.63478268047406,228.78326549983808,237.7475390461591,52.67298959040505,80.62473837887593,196.97487838514527,147.37394076634797,98.34900549946184,234.1350622961079
950000,54.308780461469325,101.04241961839973,147.92265776629387,209.138900301992,102.6237404187256,95.7205775784449,100.6997711795083,175.51289473091347,76.11852602880815,169.64624867575588
1000000,1139.2069306069636,1141.6480132677978,539.0396522001458,709.7876487391616,136.09438078879086,200.49619626813404,1017.9538340992407,1140.539572979948,291.2132663523559,340.6349686106826
1050000,998.4081581648243,1074.4238240003006,534.4007362950924,718.3505443254841,175.80287811552117,163.97191764267671,1150.8086695582422,1008.09234498365,316.39396365435334,356.8215461849951
1100000,841.5822988124739,1074.0151751256376,858.3181865702427,757.1216973905808,36.82500354073891,247.71433204351152,931.4116372310607,869.7137892601395,264.9148569209026,275.0078295954776
1150000,915.5921320419087,982.6582565375905,600.4277018371631,681.66790092937,118.03676111694358,163.61660827023834,663.6473704396918,621.1850466697249,351.1863218305677,375.53548787568445
1200000,1207.7114741934822,1208.9977513386186,775.8701100900034,799.4173603896287,162.1009639403694,248.2807581412272,1008.3474567618621,713.0748495760944,522.7016490010564,436.5593169659008
1250000,1187.029083746213,1079.5804845410898,840.0607638487036,855.4911709576503,270.95995328616914,211.7006823694353,1010.6621593794622,636.462138684273,272.8495231227058,347.3939553285362
1300000,1075.864806975817,1000.8961334004623,683.524683992598,814.2521247889359,243.1540439317941,210.7707429710697,751.0949219098421,505.28787614105374,511.05341345005473,376.914713684084
1350000,868.3796046850366,892.6410972134975,889.7157425216259,886.1173805170101,245.6851349322895,218.98031706943212,713.8890663601371,431.4417881836892,399.98244978914676,489.52027673358754
1400000,1031.7172910407464,839.0831632493906,904.0031184938729,963.8132590962717,105.31412170595308,211.34646217614963,404.21827188018824,399.7690015545448,487.2934447059124,369.450840550696
1450000,720.9367332626933,773.7632592223358,696.0743698662228,786.0787135816048,279.71246834005575,184.90389782821185,394.635559778544,359.9248128543137,201.7243741583036,299.9114516816413
1500000,466.05023598117566,758.9807139603406,645.5431813521075,897.5075640399722,354.5037713431882,201.60961799265792,452.25224421117434,460.5152697444122,289.72885734098577,358.4999162285611
1550000,594.3768528261874,757.3216512319048,684.3133890113332,941.0850368672598,321.1312583412754,257.4842015532267,120.31461073585805,215.1643304058079,409.27969094063764,424.76090780701463
1600000,685.968804343491,676.4406245743345,796.0839262349775,857.7797677910241,268.8631419148583,232.50378566597237,287.6656372175988,260.0580460514403,503.6867464783908,531.1049891138891
1650000,621.0459704524503,811.2454797015043,736.3685261556344,895.8433605578178,300.2971780626246,273.88265408765875,249.74781332546416,334.5497554988848,565.1772811992578,422.1574830529518
1700000,933.2137046517371,713.0185476086531,573.6111843111042,949.2288906190877,394.11423735061584,379.3150542240241,424.796825805159,285.52060325219674,307.41839006418627,452.40103702826747
1750000,602.5649794281508,607.2817717392041,976.4200178723149,1163.0952064415274,489.3547394458361,503.55625576835257,218.74072021523594,280.2916611477558,570.0991680428094,534.6272756703045
1800000,693.4164464626958,651.714191844592,772.404122727078,1140.901612487365,371.8822599075042,333.6562851439859,423.81435880580455,292.28373636716924,449.87989563853273,464.99938573505904
