config_name,checkpoint_step,mean_test_success_rate,mean_test_avg_return,mean_first_success_step,n
config_A,1550000,0.72,594.3768528261874,106.85,5
config_B,2350000,0.5599999999999999,579.7152974800522,92.64999999999999,5
config_C,2000000,0.24,484.50670279908263,74.3,5
config_D,2450000,0.8,134.42744013224174,66.8,5
config_E,1100000,0.2,264.9148569209026,113.4,5
