config_name,train_seed,group,checkpoint_step,mean_success_rate,mean_avg_return,mean_first_success_step,n_runs,mean_success_rate_smooth,mean_avg_return_smooth,mean_first_success_step_smooth
config_A,11,test,50000,0.0,13.074690535488731,,5,0.0,13.074690535488731,
config_A,11,test,100000,0.0,14.723996034288712,,5,0.0,14.723996034288712,
config_A,11,test,150000,0.0,40.318122512701336,,5,0.0,40.318122512701336,
config_A,11,test,200000,0.0,25.03893322661392,,5,0.0,25.03893322661392,
config_A,11,test,250000,0.0,30.5246417639324,,5,0.0,30.5246417639324,
config_A,11,test,300000,0.0,54.565858344445644,,5,0.0,54.565858344445644,
config_A,11,test,350000,0.0,46.82096165731057,,5,0.0,46.82096165731057,
config_A,11,test,400000,0.0,47.42860481761816,,5,0.0,47.42860481761816,
config_A,11,test,450000,0.0,69.2789014714122,,5,0.0,69.2789014714122,
config_A,11,test,500000,0.0,85.9266246438244,,5,0.0,85.9266246438244,
config_A,11,test,550000,0.0,45.90072862955242,,5,0.0,45.90072862955242,
config_A,11,test,600000,0.0,72.31761093544377,,5,0.0,72.31761093544377,
config_A,11,test,650000,0.0,103.88419287262187,,5,0.0,103.88419287262187,
config_A,11,test,700000,0.0,191.6392994849627,,5,0.0,191.6392994849627,
config_A,11,test,750000,0.0,203.87707801452288,,5,0.0,203.87707801452288,
config_A,11,test,800000,0.0,149.16999602684535,,5,0.0,149.16999602684535,
config_A,11,test,850000,0.0,233.10507008224099,,5,0.0,233.10507008224099,
config_A,11,test,900000,0.0,60.87992152202399,,5,0.0,60.87992152202399,
config_A,11,test,950000,0.0,54.308780461469325,,5,0.0,54.308780461469325,
config_A,11,test,1000000,0.0,1139.2069306069636,,5,0.0,1139.2069306069636,
config_A,11,test,1050000,0.0,998.4081581648243,,5,0.0,998.4081581648243,
config_A,11,test,1100000,0.04,841.5822988124739,77.0,5,0.04,841.5822988124739,77.0
config_A,11,test,1150000,0.12000000000000002,915.5921320419087,156.25,5,0.12000000000000002,915.5921320419087,156.25
config_A,11,test,1200000,0.16,1207.7114741934822,118.0,5,0.16,1207.7114741934822,118.0
config_A,11,test,1250000,0.2,1187.029083746213,138.91666666666666,5,0.2,1187.029083746213,138.91666666666666
config_A,11,test,1300000,0.32,1075.864806975817,208.86666666666667,5,0.32,1075.864806975817,208.86666666666667
config_A,11,test,1350000,0.32,868.3796046850366,74.44444444444444,5,0.32,868.3796046850366,74.44444444444444
config_A,11,test,1400000,0.32,1031.7172910407464,86.43333333333334,5,0.32,1031.7172910407464,86.43333333333334
config_A,11,test,1450000,0.4,720.9367332626933,141.9375,5,0.4,720.9367332626933,141.9375
config_A,11,test,1500000,0.52,466.05023598117566,95.89583333333333,5,0.52,466.05023598117566,95.89583333333333
config_A,11,test,1550000,0.72,594.3768528261874,106.85,5,0.72,594.3768528261874,106.85
config_A,11,test,1600000,0.36,685.968804343491,96.41666666666667,5,0.36,685.968804343491,96.41666666666667
config_A,11,test,1650000,0.5599999999999999,621.0459704524503,104.64999999999999,5,0.5599999999999999,621.0459704524503,104.64999999999999
config_A,11,test,1700000,0.48,933.2137046517371,111.41111111111111,5,0.48,933.2137046517371,111.41111111111111
config_A,11,test,1750000,0.6,602.5649794281508,85.05,5,0.6,602.5649794281508,85.05
config_A,11,test,1800000,0.6,693.4164464626958,85.275,5,0.6,693.4164464626958,85.275
config_A,11,test,1850000,0.64,447.21852158165194,73.78333333333333,5,0.64,447.21852158165194,73.78333333333333
