config_name,group,checkpoint_step,mean_success_rate,std_success_rate,mean_avg_return,std_avg_return,mean_first_success_step,n_runs,mean_success_rate_smooth,mean_avg_return_smooth,mean_first_success_step_smooth
config_A,test,50000,0.0,0.0,13.074690535488731,5.4639484227110655,,5,0.0,13.074690535488731,
config_A,test,100000,0.0,0.0,14.723996034288712,5.233317761490277,,5,0.0,14.723996034288712,
config_A,test,150000,0.0,0.0,40.318122512701336,37.860238227149374,,5,0.0,40.318122512701336,
config_A,test,200000,0.0,0.0,25.03893322661392,10.856850082017171,,5,0.0,25.03893322661392,
config_A,test,250000,0.0,0.0,30.5246417639324,15.983650228135286,,5,0.0,30.5246417639324,
config_A,test,300000,0.0,0.0,54.565858344445644,63.29872958917018,,5,0.0,54.565858344445644,
config_A,test,350000,0.0,0.0,46.82096165731057,22.97140375885969,,5,0.0,46.82096165731057,
config_A,test,400000,0.0,0.0,47.42860481761816,19.522431993283675,,5,0.0,47.42860481761816,
config_A,test,450000,0.0,0.0,69.2789014714122,45.67824139082469,,5,0.0,69.2789014714122,
config_A,test,500000,0.0,0.0,85.9266246438244,102.28833298495687,,5,0.0,85.9266246438244,
config_A,test,550000,0.0,0.0,45.90072862955242,36.879096684608314,,5,0.0,45.90072862955242,
config_A,test,600000,0.0,0.0,72.31761093544377,77.51922168250974,,5,0.0,72.31761093544377,
config_A,test,650000,0.0,0.0,103.88419287262187,110.58846215805791,,5,0.0,103.88419287262187,
config_A,test,700000,0.0,0.0,191.6392994849627,148.45396088158526,,5,0.0,191.6392994849627,
config_A,test,750000,0.0,0.0,203.87707801452288,164.535318425768,,5,0.0,203.87707801452288,
config_A,test,800000,0.0,0.0,149.16999602684535,118.70783327100085,,5,0.0,149.16999602684535,
config_A,test,850000,0.0,0.0,233.10507008224099,333.8286015773866,,5,0.0,233.10507008224099,
config_A,test,900000,0.0,0.0,60.87992152202399,81.39771424040305,,5,0.0,60.87992152202399,
config_A,test,950000,0.0,0.0,54.308780461469325,60.377042266452584,,5,0.0,54.308780461469325,
config_A,test,1000000,0.0,0.0,1139.2069306069636,521.2397019702058,,5,0.0,1139.2069306069636,
config_A,test,1050000,0.0,0.0,998.4081581648243,524.3225308749951,,5,0.0,998.4081581648243,
config_A,test,1100000,0.04,0.0894427190999916,841.5822988124739,232.7987306553191,77.0,5,0.04,841.5822988124739,77.0
config_A,test,1150000,0.12000000000000002,0.1788854381999832,915.5921320419087,351.95872700823446,156.25,5,0.12000000000000002,915.5921320419087,156.25
config_A,test,1200000,0.16,0.21908902300206645,1207.7114741934822,426.37035142421587,118.0,5,0.16,1207.7114741934822,118.0
config_A,test,1250000,0.2,0.282842712474619,1187.029083746213,653.3720656506866,138.91666666666666,5,0.2,1187.029083746213,138.91666666666666
config_A,test,1300000,0.32,0.41472882706655445,1075.864806975817,601.8592266427763,208.86666666666667,5,0.32,1075.864806975817,208.86666666666667
config_A,test,1350000,0.32,0.363318042491699,868.3796046850366,536.0110061766361,74.44444444444444,5,0.32,868.3796046850366,74.44444444444444
config_A,test,1400000,0.32,0.46043457732885357,1031.7172910407464,512.9449437925185,86.43333333333334,5,0.32,1031.7172910407464,86.43333333333334
config_A,test,1450000,0.4,0.3741657386773941,720.9367332626933,479.31850994281206,141.9375,5,0.4,720.9367332626933,141.9375
config_A,test,1500000,0.52,0.4147288270665544,466.05023598117566,205.4917433414796,95.89583333333333,5,0.52,466.05023598117566,95.89583333333333
config_A,test,1550000,0.72,0.4381780460041329,594.3768528261874,400.6280371435035,106.85,5,0.72,594.3768528261874,106.85
config_A,test,1600000,0.36,0.3286335345030997,685.968804343491,307.54507414468003,96.41666666666667,5,0.36,685.968804343491,96.41666666666667
config_A,test,1650000,0.5599999999999999,0.5176871642217914,621.0459704524503,412.6684680414385,104.64999999999999,5,0.5599999999999999,621.0459704524503,104.64999999999999
config_A,test,1700000,0.48,0.4604345773288536,933.2137046517371,673.4321893181966,111.41111111111111,5,0.48,933.2137046517371,111.41111111111111
config_A,test,1750000,0.6,0.4690415759823429,602.5649794281508,410.6467107894364,85.05,5,0.6,602.5649794281508,85.05
config_A,test,1800000,0.6,0.37416573867739417,693.4164464626958,495.15522261269615,85.275,5,0.6,693.4164464626958,85.275
config_A,test,1850000,0.64,0.3847076812334269,447.21852158165194,352.51687737646847,73.78333333333333,5,0.64,447.21852158165194,73.78333333333333
config_A,test,1900000,0.6,0.4242640687119285,564.5870054249137,398.36474174699737,74.78333333333333,5,0.6,564.5870054249137,74.78333333333333
config_A,test,1950000,0.6799999999999999,0.4147288270665544,573.5086587989576,326.3057784032839,100.77916666666667,5,0.6799999999999999,573.5086587989576,100.77916666666667
config_A,test,2000000,0.68,0.38987177379235854,505.2312839254415,370.7563818171834,87.375,5,0.68,505.2312839254415,87.375
config_A,test,2050000,0.6,0.34641016151377546,579.6044376451536,377.76278751673203,94.875,5,0.6,579.6044376451536,94.875
config_A,test,2100000,0.5599999999999999,0.433589667773576,641.2803181707029,545.4168401893911,83.3125,5,0.5599999999999999,641.2803181707029,83.3125
config_A,test,2150000,0.6,0.4,573.2656359452317,482.17591606317524,72.55,5,0.6,573.2656359452317,72.55
config_A,test,2200000,0.6,0.34641016151377546,448.0102331678985,337.282198685885,80.54166666666667,5,0.6,448.0102331678985,80.54166666666667
config_A,test,2250000,0.68,0.38987177379235854,503.61047113782905,383.54037701272625,82.9625,5,0.68,503.61047113782905,82.9625
config_A,test,2300000,0.5599999999999999,0.433589667773576,684.5717576200193,744.9394520904151,73.65,5,0.5599999999999999,684.5717576200193,73.65
config_A,test,2350000,0.5599999999999999,0.38470768123342686,652.1325293388603,725.7405593247681,74.85,5,0.5599999999999999,652.1325293388603,74.85
config_A,test,2400000,0.72,0.4147288270665544,373.3263746505422,354.8399546776927,79.7125,5,0.72,373.3263746505422,79.7125
config_A,test,2450000,0.5599999999999999,0.38470768123342686,505.693267764515,378.8986777623742,68.06666666666666,5,0.5599999999999999,505.693267764515,68.06666666666666
config_A,test,2500000,0.6799999999999999,0.4604345773288535,566.0307747495096,379.9826057675244,90.35,5,0.6799999999999999,566.0307747495096,90.35
config_A,train,50000,0.0,0.0,17.93136470747103,4.021441720371827,,5,0.0,17.93136470747103,
config_A,train,100000,0.0,0.0,23.938098173347395,13.914203741855406,,5,0.0,23.938098173347395,
config_A,train,150000,0.0,0.0,36.47700227047733,24.37460761654652,,5,0.0,36.47700227047733,
config_A,train,200000,0.0,0.0,52.41550928298018,56.2728371922002,,5,0.0,52.41550928298018,
config_A,train,250000,0.0,0.0,42.56123600890475,33.22215039313971,,5,0.0,42.56123600890475,
config_A,train,300000,0.0,0.0,37.37661563853002,20.914882000382182,,5,0.0,37.37661563853002,
config_A,train,350000,0.0,0.0,47.26211551326073,24.643833614373133,,5,0.0,47.26211551326073,
config_A,train,400000,0.0,0.0,50.02611440529961,15.64645370844441,,5,0.0,50.02611440529961,
config_A,train,450000,0.0,0.0,65.60800052586049,53.12348237854038,,5,0.0,65.60800052586049,
config_A,train,500000,0.0,0.0,107.93394666278668,104.08969336890569,,5,0.0,107.93394666278668,
config_A,train,550000,0.0,0.0,61.60787900564503,28.880498877196686,,5,0.0,61.60787900564503,
config_A,train,600000,0.0,0.0,72.12840150127168,55.080632711515484,,5,0.0,72.12840150127168,
config_A,train,650000,0.0,0.0,97.6075625472719,82.15429117684215,,5,0.0,97.6075625472719,
config_A,train,700000,0.0,0.0,101.95138648731407,88.35812104641563,,5,0.0,101.95138648731407,
config_A,train,750000,0.0,0.0,128.2489543657709,103.79589331805428,,5,0.0,128.2489543657709,
config_A,train,800000,0.0,0.0,168.0572333599736,195.1002942734219,,5,0.0,168.0572333599736,
config_A,train,850000,0.0,0.0,169.1393079228303,192.4305752777967,,5,0.0,169.1393079228303,
config_A,train,900000,0.0,0.0,96.63478268047406,69.33898179137852,,5,0.0,96.63478268047406,
config_A,train,950000,0.0,0.0,101.04241961839973,92.77723647967574,,5,0.0,101.04241961839973,
config_A,train,1000000,0.00888888888888888,0.01987615979999811,1141.6480132677978,577.5805423123734,129.0,5,0.00888888888888888,1141.6480132677978,129.0
config_A,train,1050000,0.03999999999999998,0.055332887102172136,1074.4238240003006,777.8515335757469,166.27777777777777,5,0.03999999999999998,1074.4238240003006,166.27777777777777
config_A,train,1100000,0.09777777777777777,0.1419441726459672,1074.0151751256376,432.4841954312498,175.5625,5,0.09777777777777777,1074.0151751256376,175.5625
config_A,train,1150000,0.15555555555555553,0.2238826853289987,982.6582565375905,192.63284741165774,153.61923583662713,5,0.15555555555555553,982.6582565375905,153.61923583662713
config_A,train,1200000,0.2,0.2748737083745107,1208.9977513386186,546.8997921706793,140.76666666666665,5,0.2,1208.9977513386186,140.76666666666665
config_A,train,1250000,0.24888888888888888,0.3584603564698527,1079.5804845410898,631.8471219366808,185.416317016317,5,0.24888888888888888,1079.5804845410898,185.416317016317
config_A,train,1300000,0.3466666666666666,0.41621456954464553,1000.8961334004623,688.2207269542937,211.71274131274131,5,0.3466666666666666,1000.8961334004623,211.71274131274131
config_A,train,1350000,0.4,0.36345393852880276,892.6410972134975,397.8811581295397,123.84510647010647,5,0.4,892.6410972134975,123.84510647010647
config_A,train,1400000,0.43999999999999995,0.4223391650917191,839.0831632493906,390.2339329676244,115.91210091991343,5,0.43999999999999995,839.0831632493906,115.91210091991343
config_A,train,1450000,0.4666666666666667,0.4363145314682636,773.7632592223358,595.4220459981383,145.38298928223958,5,0.4666666666666667,773.7632592223358,145.38298928223958
config_A,train,1500000,0.5466666666666666,0.4258904977214011,758.9807139603406,399.7925748247186,107.37678890876565,5,0.5466666666666666,758.9807139603406,107.37678890876565
config_A,train,1550000,0.5777777777777777,0.37581187833972807,757.3216512319048,305.02065160321223,107.62597818847819,5,0.5777777777777777,757.3216512319048,107.62597818847819
config_A,train,1600000,0.48,0.3866922086072215,676.4406245743345,381.63896078432697,115.43684210526317,5,0.48,676.4406245743345,115.43684210526317
config_A,train,1650000,0.5333333333333333,0.38904758666692435,811.2454797015043,309.4408675788952,102.09813186813187,5,0.5333333333333333,811.2454797015043,102.09813186813187
config_A,train,1700000,0.5555555555555556,0.375811878339728,713.0185476086531,290.1095247149327,96.88429845008793,5,0.5555555555555556,713.0185476086531,96.88429845008793
config_A,train,1750000,0.5466666666666666,0.37171607377966975,607.2817717392041,326.8818639529377,91.32482638888888,5,0.5466666666666666,607.2817717392041,91.32482638888888
config_A,train,1800000,0.5644444444444444,0.3917671265962491,651.714191844592,369.1595852171741,87.50823211875843,5,0.5644444444444444,651.714191844592,87.50823211875843
config_A,train,1850000,0.6177777777777778,0.3888571415612806,479.3561973690301,316.30868245235047,83.00263710474309,5,0.6177777777777778,479.3561973690301,83.00263710474309
config_A,train,1900000,0.6133333333333333,0.4075218694427012,575.6231848532418,329.9433518701843,82.1093540080609,5,0.6133333333333333,575.6231848532418,82.1093540080609
