train_seed,split_id,config_name,group,checkpoint_step,mean_success_rate,mean_avg_return,mean_first_success_step,n_runs,mean_success_rate_smooth,mean_avg_return_smooth,mean_first_success_step_smooth
11,0,config_A,test,1610000,1.0,115.92976925125797,62.2,1,1.0,102.2676646323683,61.26666666666667
11,0,config_B,test,1030000,1.0,157.48464718350908,67.4,1,0.8666666666666667,516.7014190630165,64.96666666666667
11,0,config_C,test,2300000,0.4,893.6246826704389,59.0,2,0.3333333333333333,769.182378513014,61.166666666666664
11,0,config_D,test,1020000,1.0,701.2636337626798,157.2,1,0.8666666666666667,397.704861156268,118.5111111111111
11,0,config_E,test,1600000,1.0,89.73343490982678,50.2,2,0.8666666666666667,74.32869083431332,49.9
11,1,config_A,test,2460000,0.4,518.901735359978,79.5,1,0.26666666666666666,368.7757160214599,74.83333333333333
11,1,config_B,test,1260000,1.0,182.1186506300917,71.8,1,0.8666666666666667,121.30219429243135,63.51666666666667
11,1,config_C,test,1670000,0.6,575.1730152343611,70.0,1,0.6,428.5575573327781,67.88888888888889
11,1,config_D,test,1090000,1.0,94.54362200509254,57.8,1,1.0,86.99396315576871,58.066666666666656
11,1,config_E,test,1900000,1.0,67.6845243166655,48.6,2,0.8666666666666667,62.2328727527231,47.949999999999996
11,2,config_A,test,1340000,1.0,74.68175137048777,47.4,1,0.9333333333333332,74.23846230652363,47.15
11,2,config_B,test,1130000,1.0,576.7252477998657,143.2,1,0.8000000000000002,804.8505118593779,178.5388888888889
11,2,config_C,test,2480000,0.0,1306.5348319523837,,1,0.0,1090.2485474298592,
11,2,config_D,test,1020000,1.0,122.99098971320512,55.0,1,0.8666666666666667,74.23525520384355,47.5
11,2,config_E,test,2400000,0.0,617.645935610886,,2,0.0,409.00333109464185,
11,3,config_A,test,1730000,1.0,376.594848866133,148.8,1,0.8666666666666667,166.58346677918135,81.18333333333334
11,3,config_B,test,1070000,1.0,567.1622500883641,138.8,1,0.7333333333333333,215.61379599891822,81.71111111111112
11,3,config_C,test,2230000,1.0,155.09506141064165,75.0,1,0.8000000000000002,388.99718374592425,72.83333333333333
11,3,config_D,test,2100000,1.0,681.5214293894142,148.8,2,0.7333333333333334,830.2380431169518,89.18333333333334
11,3,config_E,test,1450000,1.0,91.4108580949664,50.8,1,1.0,79.35265839428645,51.333333333333336
11,4,config_A,test,1150000,1.0,120.83270543297922,63.6,2,0.7999999999999999,102.56433229497293,63.394444444444446
11,4,config_B,test,1250000,1.0,445.1665389311529,117.6,2,0.9333333333333332,226.98059158677665,124.53333333333332
11,4,config_C,test,2500000,1.0,122.5672660260678,71.8,1,0.8666666666666667,106.57004081212177,66.26666666666665
11,4,config_D,test,1240000,1.0,85.8313405413682,53.6,1,0.9333333333333335,78.66698708095511,52.61666666666667
11,4,config_E,test,1550000,0.2,378.2996271153781,204.0,1,0.06666666666666667,245.08790786334455,204.0
