config_name,checkpoint_step,mean_test_success_rate,mean_test_avg_return,mean_first_success_step,n
config_B,1330000,1.0,102.07897088698671,61.32000000000001,5
config_B,1270000,1.0,101.784521485852,57.64,5
config_B,1280000,1.0,99.53512228318657,57.279999999999994,5
config_B,1290000,1.0,98.39508738561798,56.4,5
config_B,1300000,1.0,89.24268133201204,58.8,5
config_B,1670000,1.0,80.8896232367354,54.2,5
config_B,1660000,1.0,76.9597919754347,52.160000000000004,5
config_B,1680000,1.0,73.34504803672272,52.839999999999996,5
config_B,1690000,1.0,72.9349230183333,52.160000000000004,5
config_D,2420000,1.0,69.30335767426541,57.760000000000005,5
config_D,2290000,1.0,64.63151343876523,49.160000000000004,5
config_B,2470000,1.0,61.80929928889525,50.28,5
config_B,1320000,0.96,201.758991582042,70.58,5
config_B,1260000,0.96,178.09721395232265,73.17999999999999,5
config_B,1250000,0.96,163.5543950781584,69.09,5
config_B,1240000,0.96,99.59740916451827,67.62,5
config_B,1310000,0.96,97.59046294721763,60.56,5
config_B,1340000,0.96,92.42121863266176,63.23,5
config_B,1370000,0.96,91.36118639188638,63.04,5
config_B,1350000,0.96,91.00872849673188,55.39,5
config_B,1400000,0.96,86.59923605959003,76.36,5
config_B,1560000,0.96,82.90225619360714,59.08,5
config_B,1540000,0.96,81.41600091054295,56.52,5
config_B,1600000,0.96,75.37775975036678,64.56,5
config_B,1860000,0.96,75.17332427750536,53.36,5
config_B,1760000,0.96,71.22581466545833,52.07000000000001,5
config_B,1720000,0.96,70.86907884136784,51.35,5
config_B,1800000,0.96,70.51267427459467,62.54,5
config_B,1710000,0.96,69.66719469341895,51.55,5
config_B,1700000,0.96,69.55493606954494,51.870000000000005,5
config_D,2300000,0.96,66.66342782717065,47.07,5
config_D,2360000,0.96,66.41337503282367,49.15,5
config_D,2320000,0.96,66.29806760194244,48.32,5
config_D,2390000,0.96,65.76178642616111,46.0,5
config_B,2360000,0.96,65.30740631554235,53.35,5
config_D,2480000,0.96,65.15954094847163,46.54,5
config_D,2350000,0.96,65.13873920834138,50.230000000000004,5
config_B,2190000,0.96,65.0318891054271,56.17999999999999,5
config_D,2380000,0.96,64.82752397735746,45.92,5
config_B,2500000,0.96,64.82371684763521,48.33,5
config_D,2490000,0.96,64.60471074557805,46.760000000000005,5
config_B,2380000,0.96,63.169121103192694,53.33,5
config_B,2460000,0.96,62.7646695326906,49.2,5
config_B,2490000,0.96,62.015110548888366,47.75,5
config_B,2210000,0.96,61.886694695756674,51.98,5
config_B,2170000,0.96,60.43014430587219,57.04,5
config_B,2180000,0.96,60.202204211654546,53.5,5
config_B,2400000,0.96,60.03469613711072,52.010000000000005,5
config_B,2480000,0.96,58.935674973330904,50.92,5
config_B,2140000,0.9199999999999999,119.58393040011966,66.6,5
config_B,1230000,0.9199999999999999,94.5774205342415,73.97,5
config_B,1380000,0.9199999999999999,91.90319953559109,56.626666666666665,5
config_B,2440000,0.9199999999999999,90.58450914832852,49.3,5
config_B,1360000,0.9199999999999999,88.820783744615,55.56,5
config_B,1390000,0.9199999999999999,82.97046199650167,55.8,5
config_B,1410000,0.9199999999999999,81.2586645092376,56.05333333333333,5
config_B,1550000,0.9199999999999999,75.34044754840852,57.98,5
config_B,1630000,0.9199999999999999,75.06208898238073,50.61,5
config_B,1570000,0.9199999999999999,74.21120979003103,51.010000000000005,5
config_B,1590000,0.9199999999999999,73.77793694858477,50.42,5
config_B,1620000,0.9199999999999999,73.47045641706957,49.72,5
config_B,1640000,0.9199999999999999,73.46324875178182,50.72,5
config_B,1650000,0.9199999999999999,72.67964267397198,51.529999999999994,5
config_B,1790000,0.9199999999999999,71.5237851326008,54.05,5
config_B,1580000,0.9199999999999999,71.47402740053877,50.989999999999995,5
config_B,1610000,0.9199999999999999,71.23383129399632,49.37,5
config_D,2340000,0.9199999999999999,71.08113298584374,46.489999999999995,5
config_B,1780000,0.9199999999999999,69.8349122279449,53.69,5
config_B,1870000,0.9199999999999999,69.82118702022625,53.839999999999996,5
config_B,1740000,0.9199999999999999,69.63097953358746,52.55,5
config_B,1750000,0.9199999999999999,68.33735320777257,53.79,5
config_B,1810000,0.9199999999999999,68.05246997954399,53.620000000000005,5
config_B,1830000,0.9199999999999999,67.29396435803427,55.279999999999994,5
config_B,1850000,0.9199999999999999,67.17092559435284,53.19,5
config_D,2450000,0.9199999999999999,66.2565659439496,46.720000000000006,5
config_B,1770000,0.9199999999999999,65.9696038374473,51.92,5
config_B,1840000,0.9199999999999999,65.849218847081,52.620000000000005,5
config_B,2350000,0.9199999999999999,65.7883125681612,51.55,5
config_B,2370000,0.9199999999999999,65.73545852206783,50.28,5
config_D,2500000,0.9199999999999999,65.21122605822873,46.55,5
config_B,2410000,0.9199999999999999,64.75612112507207,48.68,5
config_B,2090000,0.9199999999999999,64.68309646486725,49.25,5
config_B,2080000,0.9199999999999999,63.29145498516274,48.760000000000005,5
config_B,2220000,0.9199999999999999,62.78552379321743,49.69,5
config_B,2200000,0.9199999999999999,62.61855486974382,50.04,5
config_D,2400000,0.9199999999999999,62.325960399642874,50.38,5
config_B,2100000,0.9199999999999999,62.2757656849701,48.45,5
config_B,2430000,0.9199999999999999,62.12217601047742,48.980000000000004,5
config_B,2420000,0.9199999999999999,62.08020120700788,48.489999999999995,5
config_B,2030000,0.9199999999999999,61.9202990764043,66.97,5
config_B,2450000,0.9199999999999999,61.74749158091428,49.03,5
config_D,2330000,0.9199999999999999,61.690902091512974,46.78,5
config_B,2120000,0.9199999999999999,61.00249823956055,48.32,5
config_B,2130000,0.9199999999999999,60.802063326186136,48.69,5
config_B,2320000,0.9199999999999999,60.50677226616199,53.8,5
config_B,2160000,0.9199999999999999,60.34636034428163,48.58,5
config_B,2110000,0.9199999999999999,59.65977819021261,48.28,5
config_D,2370000,0.9199999999999999,59.22450114544987,46.67,5
config_D,2470000,0.9199999999999999,59.15611682584803,56.910000000000004,5
config_B,2150000,0.9199999999999999,57.3881581833351,48.7,5
config_D,2170000,0.9199999999999999,52.93090014995805,50.38666666666667,5
config_B,1200000,0.8800000000000001,158.40815916905805,93.64333333333335,5
config_D,2440000,0.8800000000000001,140.30467372287754,46.96333333333333,5
config_B,1220000,0.8800000000000001,93.78302633914497,61.629999999999995,5
config_B,1210000,0.8800000000000001,89.2553630530915,61.916666666666664,5
config_B,1470000,0.8800000000000001,82.89525152662907,79.76,5
config_B,1460000,0.8800000000000001,81.84954153596303,54.32000000000001,5
config_B,1510000,0.8800000000000001,79.95522946183978,70.16,5
config_B,1450000,0.8800000000000001,78.48289700205439,55.52,5
config_B,1520000,0.8800000000000001,76.56414604427657,64.17,5
config_B,1430000,0.8800000000000001,75.96048839392996,55.620000000000005,5
config_B,1530000,0.8800000000000001,73.05442482372953,56.379999999999995,5
config_B,1880000,0.8800000000000001,68.27346983647479,53.17666666666666,5
config_B,1930000,0.8800000000000001,66.77510068960359,52.336666666666666,5
config_B,1890000,0.8800000000000001,65.81653011708079,53.86666666666666,5
config_B,1820000,0.8800000000000001,65.361604564962,54.15333333333333,5
config_B,1940000,0.8800000000000001,64.98516653603164,52.20333333333333,5
config_B,1730000,0.8800000000000001,64.16128745788924,51.36,5
config_B,1920000,0.8800000000000001,63.04644680356726,53.54333333333334,5
config_B,2000000,0.8800000000000001,62.88223502304936,50.42333333333333,5
config_D,2270000,0.8800000000000001,62.79561580292393,46.79,5
config_B,1950000,0.8800000000000001,62.68213174681877,53.11666666666666,5
config_D,2460000,0.8800000000000001,62.29074762553988,45.806666666666665,5
config_B,2010000,0.8800000000000001,61.869522923217595,49.89333333333333,5
