config_name,checkpoint_step,mean_test_success_rate,mean_test_avg_return,mean_first_success_step,n_runs
config_A,2290000,1.0,274.00912822740844,59.879999999999995,5
config_B,1180000,1.0,379.2055416315699,68.96000000000001,5
config_C,1870000,1.0,302.98637471917607,57.92,5
config_D,2340000,1.0,280.50502165036517,51.75999999999999,5
config_E,1700000,0.96,164.07666762090645,53.510000000000005,10
