run_name,config_name,split_id,split_seed,train_seed,checkpoint_step,total_timesteps,group,mean_success_rate,mean_avg_return,std_return,avg_steps,std_steps,mean_first_success_step,episodes,model_path,vecnormalize_path
ppo_push-v3_config_A_split2_splitseed75_trainseed11_5000000,config_A,2,75,11,690000,5000000,test,1.0,801.0862893932042,1185.6339169847029,122.2,147.68398694509844,122.2,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_A_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_A_split2_splitseed75_trainseed11_5000000_690000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_A_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_A_split2_splitseed75_trainseed11_5000000_vecnormalize_1690000_steps.pkl
ppo_push-v3_config_B_split2_splitseed75_trainseed11_5000000,config_B,2,75,11,1790000,5000000,test,1.0,837.52226567667,1387.24963753491,118.0,160.5490579231158,118.0,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_B_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_B_split2_splitseed75_trainseed11_5000000_1790000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_B_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_B_split2_splitseed75_trainseed11_5000000_vecnormalize_1790000_steps.pkl
ppo_push-v3_config_C_split2_splitseed75_trainseed11_5000000,config_C,2,75,11,3180000,5000000,test,1.0,922.1550720288594,1580.6752445557577,128.4,181.31916611323803,128.4,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_C_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_C_split2_splitseed75_trainseed11_5000000_3180000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_C_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_C_split2_splitseed75_trainseed11_5000000_vecnormalize_3180000_steps.pkl
ppo_push-v3_config_D_split2_splitseed75_trainseed11_5000000,config_D,2,75,11,960000,5000000,test,1.0,242.4338709321816,61.38879240089658,95.2,100.5055222363428,95.2,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_D_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_D_split2_splitseed75_trainseed11_5000000_960000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_D_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_D_split2_splitseed75_trainseed11_5000000_vecnormalize_1960000_steps.pkl
ppo_push-v3_config_E_split2_splitseed75_trainseed11_5000000,config_E,2,75,11,1150000,5000000,test,1.0,835.6596608226243,1263.1915376103916,114.2,143.40767064561086,114.2,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_E_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_E_split2_splitseed75_trainseed11_5000000_1150000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_E_split2_splitseed75_trainseed11_5000000\ppo_push-v3_config_E_split2_splitseed75_trainseed11_5000000_vecnormalize_1150000_steps.pkl
ppo_push-v3_config_A_split3_splitseed79_trainseed11_5000000,config_A,3,79,11,440000,5000000,test,1.0,227.06420577117848,74.57428006593514,53.6,15.317963311093289,53.6,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_A_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_A_split3_splitseed79_trainseed11_5000000_440000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_A_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_A_split3_splitseed79_trainseed11_5000000_vecnormalize_1440000_steps.pkl
ppo_push-v3_config_B_split3_splitseed79_trainseed11_5000000,config_B,3,79,11,1440000,5000000,test,1.0,511.1715624175408,731.0376034290206,82.8,90.19623051990588,82.8,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_B_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_B_split3_splitseed79_trainseed11_5000000_1440000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_B_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_B_split3_splitseed79_trainseed11_5000000_vecnormalize_1440000_steps.pkl
ppo_push-v3_config_C_split3_splitseed79_trainseed11_5000000,config_C,3,79,11,3620000,5000000,test,1.0,768.3127280340307,1079.186594096107,108.0,123.41960946300227,108.0,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_C_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_C_split3_splitseed79_trainseed11_5000000_3620000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_C_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_C_split3_splitseed79_trainseed11_5000000_vecnormalize_3620000_steps.pkl
ppo_push-v3_config_D_split3_splitseed79_trainseed11_5000000,config_D,3,79,11,2340000,5000000,test,1.0,679.6764841819039,975.3444678961008,92.8,98.2555850829865,92.8,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_D_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_D_split3_splitseed79_trainseed11_5000000_2340000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_D_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_D_split3_splitseed79_trainseed11_5000000_vecnormalize_2340000_steps.pkl
ppo_push-v3_config_E_split3_splitseed79_trainseed11_5000000,config_E,3,79,11,1850000,5000000,test,1.0,508.4132395667988,693.1382858567578,77.6,77.3888880912499,77.6,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_E_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_E_split3_splitseed79_trainseed11_5000000_1850000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_E_split3_splitseed79_trainseed11_5000000\ppo_push-v3_config_E_split3_splitseed79_trainseed11_5000000_vecnormalize_1850000_steps.pkl
ppo_push-v3_config_A_split4_splitseed92_trainseed11_5000000,config_A,4,92,11,2450000,5000000,test,1.0,744.5973294146108,1141.795914282358,108.6,131.23810422282088,108.6,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_A_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_A_split4_splitseed92_trainseed11_5000000_2450000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_A_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_A_split4_splitseed92_trainseed11_5000000_vecnormalize_2450000_steps.pkl
ppo_push-v3_config_B_split4_splitseed92_trainseed11_5000000,config_B,4,92,11,4710000,5000000,test,1.0,562.3237221218121,713.492322640314,87.8,86.31894345970645,87.8,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_B_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_B_split4_splitseed92_trainseed11_5000000_4710000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_B_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_B_split4_splitseed92_trainseed11_5000000_vecnormalize_4710000_steps.pkl
ppo_push-v3_config_C_split4_splitseed92_trainseed11_5000000,config_C,4,92,11,1470000,5000000,test,1.0,768.428742687051,1051.7191506115587,127.2,154.10308238318922,127.2,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_C_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_C_split4_splitseed92_trainseed11_5000000_1470000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_C_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_C_split4_splitseed92_trainseed11_5000000_vecnormalize_1470000_steps.pkl
ppo_push-v3_config_D_split4_splitseed92_trainseed11_5000000,config_D,4,92,11,1660000,5000000,test,1.0,746.0210612947478,1110.121022223825,111.6,130.83974931189678,111.6,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_D_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_D_split4_splitseed92_trainseed11_5000000_1660000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_D_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_D_split4_splitseed92_trainseed11_5000000_vecnormalize_1660000_steps.pkl
ppo_push-v3_config_E_split4_splitseed92_trainseed11_5000000,config_E,4,92,11,3850000,5000000,test,1.0,39.55083036655625,19.443890933862807,62.4,19.703806738800505,62.4,5,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_E_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_E_split4_splitseed92_trainseed11_5000000_3850000_steps.zip,push_v3_ppo_split_runs\checkpoints\ppo_push-v3_config_E_split4_splitseed92_trainseed11_5000000\ppo_push-v3_config_E_split4_splitseed92_trainseed11_5000000_vecnormalize_3850000_steps.pkl
